Symbol,Company Name,Industry,Index,Sector
LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Services,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']","['NIFTY_FINANCIAL_SERVICES', 'NIFTY_FINANCIAL_SERVICES25-50LIST']"
LICI.NS,Life Insurance Corporation of India,Financial Services,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",[]
LINDEINDIA.NS,Linde India Ltd.,Chemicals,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_CHEMICALS']
LLOYDSENGG.NS,Lloyds Engineering Works Ltd.,Capital Goods,['NIFTYTOTALMARKET'],[]
LLOYDSENT.NS,Lloyds Enterprises Ltd.,Metals & Mining,['NIFTYTOTALMARKET'],[]
LLOYDSME.NS,Lloyds Metals And Energy Ltd.,Metals & Mining,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_METAL']
LMW.NS,LMW Ltd.,Capital Goods,['NIFTYTOTALMARKET'],[]
LODHA.NS,Lodha Developers Ltd.,Realty,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",['NIFTY_REALTY']
LT.NS,Larsen & Toubro Ltd.,Construction,"['NIFTY200', 'NIFTY50', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTY500']",[]
LTF.NS,L&T Finance Ltd.,Financial Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
LTFOODS.NS,LT Foods Ltd.,Fast Moving Consumer Goods,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
LTM.NS,LTIMindtree Ltd.,Information Technology,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",['NIFTY_IT']
LTTS.NS,L&T Technology Services Ltd.,Information Technology,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
LUMAXTECH.NS,Lumax Auto Technologies Ltd.,Automobile and Auto Components,['NIFTYTOTALMARKET'],[]
LUPIN.NS,Lupin Ltd.,Healthcare,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']","['NIFTY_HEALTHCARE', 'NIFTY_PHARMA']"
LUXIND.NS,Lux Industries Ltd.,Textiles,['NIFTYTOTALMARKET'],[]
LXCHEM.NS,Laxmi Organic Industries Ltd.,Chemicals,['NIFTYTOTALMARKET'],[]
M&M.NS,Mahindra & Mahindra Ltd.,Automobile and Auto Components,"['NIFTY200', 'NIFTY50', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTY500']",['NIFTY_AUTO']
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
MAHABANK.NS,Bank of Maharashtra,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_PSUBANK']
MAHLIFE.NS,Mahindra Lifespace Developers Ltd.,Realty,['NIFTYTOTALMARKET'],[]
MAHSCOOTER.NS,Maharashtra Scooters Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
MAHSEAMLES.NS,Maharashtra Seamless Ltd.,Capital Goods,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
